"chaineid","Nom","Code","Numéro","parcours","year","label","Bilan ajouter",,"ajout1","ajout2",,,,,,,,,,,
"miashs*l2*HIST","L2 MIASHS HISTOIRE",,14471,"miashs","l2","HIST","14476,35954,35964,36007","L2 MIASHS promo entière",14476,"Hist. Europe XIXe siecle, aspects eco. sociaux et culturels CM01",35954,"Initiation a l'histoire du genre CM01",35964,"Historiographies : Europe et mondes CM01",36007,,"#N/A",,"#N/A",,"#N/A"
"miashs*l2*LING","L2 MIASHS LINGUISTIQUE",,14472,"miashs","l2","LING",14476,"L2 MIASHS promo entière",14476,,,,,,,,,,,,
"miashs*l2*SOCIO","L2 MIASHS SOCIOLOGIE",,14475,"miashs","l2","SOCIO",14476,"L2 MIASHS promo entière",14476,,,,,,,,,,,,
"","L2 MIASHS promo entière",,14476,,,,,,,,,,,,,,,,,,
"ingemath*l3*IngeMath1","L3 INGE MATHS",,22145,"ingemath","l3","IngeMath1",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"mathens*l3*MathEns1","L3 MATHEMATIQUES - MATHEMATIQUES POUR L'ENSEIGNEMENT - GM","LGMT23",47465,"mathens","l3","MathEns1",,,,,,,,,,,,,,,
,"L3 Math-Enseignement promo entière",,14480,,,,,,,,,,,,,,,,,,
"mathinfo*l3*MathInfo1","L3 MATHEMATIQUES - MATHEMATIQUES/INFORMATIQUE (DL) - GM","LGMT33",22133,"mathinfo","l3","MathInfo1",14586,"L3 MATHS-INFO",14586,,,,,,,,,,,,
,"L3 MI promo entière",,22140,,,,,,,,,,,,,,,,,,
"math*l3*Math.1","L3 MFA Groupe 1",,14492,"math","l3","Math.1",14497,"L3 MFA promo entière",14497,,,,,,,,,,,,
"math*l3*Math.2 ","L3 MFA Groupe 2",,14493,"math","l3","Math.2 ",14497,"L3 MFA promo entière",14497,,,,,,,,,,,,
"math*l3*Math.3","L3 MFA Groupe 3",,14496,"math","l3","Math.3",14497,"L3 MFA promo entière",14497,,,,,,,,,,,,
"math*l3*Math.4","L3 MFA Groupe 4",,14499,"math","l3","Math.4",14497,"L3 MFA promo entière",14497,,,,,,,,,,,,
"","L3 MFA promo entière",,14497,,,,,,,,,,,,,,,,,,
"miashs*l3*L3Miashs1","L3 MIASHS Groupe 1",,14504,"miashs","l3","L3Miashs1",14514,"L3 MIASHS promo entière",14514,,,,,,,,,,,,
"miashs*l3*L3Miashs2","L3 MIASHS Groupe 2",,14505,"miashs","l3","L3Miashs2",14514,"L3 MIASHS promo entière",14514,,,,,,,,,,,,
"","L3 MIASHS promo entière",,14514,,,,,,,,,,,,,,,,,,
"miashs*l3-pde*L3 PDE","L3 MIASHS - PROFESSORAT DES ECOLES - GM","LGMA63",46992,"miashs","l3-pde","L3 PDE",,,,,,,,,,,,,,,
"","M1 DIDACTIQUE SCIENCES - DIDACTIQUE MATHEMATIQUES - GM","MADQ21",28277,,,,,,,,,,,,,,,,,,
"mathinfo*m1*M1 MIC","M1 MATHS ET APPLICATIONS - MATH INFO APPLIC CRYPTO - GM","MAMA61",59387,"mathinfo","m1","M1 MIC",14599,,14599,,,,,,,,,,,,
"","M1 MATHS ET APPLICATIONS - MATHS FONDAM APPLIQ - GM","MAMAA1",59105,,,,,,,,,,,,,,,,,,
"","M1 MATH FONDAMENTALES APPLIQUEES",,55502,,,,,,,,,,,,,,,,,,
"math*m1*M1 MFA Gr1","M1 MFA Groupe 1",,55513,"math","m1","M1 MFA Gr1",55502,"M1 MATH FONDAMENTALES APPLIQUEES",55502,,,,,,,,,,,,
